PECK;ACRED;GEN
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CPROF;DIG
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CPROF;PRINT
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAR;PRINT
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;PRINT
TUR;CAM;PRINT
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;GEN
TUR;CAM;GEN
TUR;CAM;GEN
TUR;CAM;GEN
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAM;EVE
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;PRINT
TUR;CAR;PRINT
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;EVE
TUR;CAR;EVE
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAR;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
TUR;CAM;DIG
PECK;LIC;GEN
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;PRINT
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
PECK;LIC;GEN
EDU;EDU;DIG
EDU;EDU;DIG
PECK;PROG;GEN
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
PECK;PROG;GEN
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
EDU;EDU;DIG
PEL;SOFT;GEN
PEL;SOFT;GEN
PEL;SOFT;GEN
PEL;SOFT;GEN
PEL;SOFT;GEN
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;PRINT
HOS;HOST;DIG
HOS;HOST;DIG
HOS;HOST;DIG
HOS;HOST;DIG
HOS;HOST;DIG
HOS;HOST;DIG
HOS;HOST;DIG
HOS;HOST;DIG
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
HOS;MARH;PRINT
