ARQ;ARQ;DIG;NAN
ARQ;ARQ;EVE;ESNAN
ARQ;ARQ;EVE;PNAN
ARQ;ARQ;EVE;PN-NAN
ARQ;ARQ;PRINT;NAN
CON;CON;DIG;CCH
CON;CON;EVE;BUSMET
CON;CON;EVE;PCCA
CON;CON;EVE;PN-CF
CON;CON;PRINT;CCH
DEN;DEN;DIG;GD
DEN;DEN;DIG;GDF
DEN;DEN;EVE;DESGD
DEN;DEN;EVE;EVEVAR
DEN;DEN;EVE;GD
DEN;DEN;EVE;PGD
DEN;DEN;EVE;PN-DF
DEN;DEN;PRINT;GD
DEN;DEN;PRINT;GDEXPO
DEN;DEN;PRINT;GDF
DEN;DEN;PRINT;LIBRO
DEN;DEN;PRINT;TIENGD
DEP;DEP;DIG;DS
DEP;DEP;EVE;DS
DEP;DEP;EVE;PN-SPF
DEP;DEP;GEN;DS
DEP;DEP;PRINT;AGEN
DEP;DEP;PRINT;DS
DEP;DEP;PRINT;GUIADS
EDU;EDU;DIG;ANUEE
EDU;EDU;DIG;ANUEE
EDU;EDU;DIG;EE
EDU;EDU;PRINT;ANUEE
EDU;EDU;PRINT;EE
EVE;EVE;EVE;ASIS
EVE;EVE;EVE;EVE
EVE;EVE;EVE;EVEVAR
EVE;EVE;EVE;PFINE
HOS;HOST;DIG;MAB
HOS;HOST;PRINT;MAB
HOS;MARH;DIG;TH
HOS;MARH;DIG;THP
HOS;MARH;EVE;PN-THF
HOS;MARH;EVE;TH
HOS;MARH;GEN;TH
HOS;MARH;PRINT;TH
HOS;MARH;PRINT;THP
HOS;RES;DIG;RN
HOS;RES;EVE;EVE
HOS;RES;EVE;EVEDIG
HOS;RES;EVE;EXPOF
HOS;RES;EVE;HOT
HOS;RES;EVE;PN-FSF
HOS;RES;EVE;RN
HOS;RES;PRINT;RN
INT;GEN;GEN;GEN
KAU;PECK;DIG;PECK
PEL;GEN;DIG;GEN
PEL;GEN;GEN;EVEVAR
PEL;GEN;GEN;PEL
PEL;GEN;PRINT;GEN
SEG;SEG;DIG;CSEG
SEG;SEG;EVE;CSE
SEG;SEG;EVE;EVEVAR
SEG;SEG;EVE;PN-SF
SEG;SEG;GEN;CSEG
SEG;SEG;PRINT;CSEG
SEG;SEG;PRINT;GVISIT
TUR;CAM;DIG;BUNGC
TUR;CAM;DIG;CSALON
TUR;CAM;EVE;CSALON
TUR;CAM;EVE;SIC
TUR;CAM;GEN;CSALON
TUR;CAM;PRINT;LIBRO
TUR;CAM;PRINT;UCC
TUR;CAR;DIG;AUTOC
TUR;CAR;EVE;EVE
TUR;CAR;PRINT;AUTOC
TUR;CAR;PRINT;GAS
TUR;CAR;PRINT;SIC
TUR;CPROF;DIG;CPROF
TUR;CPROF;PRINT;CPROF
TUR;CPROF;PRINT;Total CPROF