AGEN;Agenda
ANUEE;Anuario EE
ASIS;Evento Asis
AUTOC;Auto C
BUNG;Bungalows
BUNGC;Alta automática
BUSMET;Business Meeting
CCASINO;Congreso Casinos
CCH;Contact Center Hub
CPROF;Camping  Profesional (PAN)
CSALON;Campingsalon
CSE;Congreso Seguridad Euskadi
CSEG;Cuadernos de Seguridad
DESCC;Desayunos CC
DESCSEG;Alta automática
DESGD;Desayunos Gaceta Dental
DESMAB;Desayunos Mab
DESTH;Desayunos TecnoHotel
DS;Diffusion Sport
EE;Entre Estudiantes
ESNAN;Espacio NAN
EVE;Eventos
EVEDIG;Eventos digitales
EVEPRESEN;Eventos presenciales
EVEVAR;Alta automática
EXPOF;Expofood Service
FINE;Alta automática
FODST;Food service talks
GAS;GAS
GD;Gaceta Dental
GDEXPO;Guía GD Expodental
GDF;Gaceta Dental Formación
GEN;Generales
GPROV;Guía de Proveedores
GUIAC;Guía de Campings
GUIADS;Guía Diffusion Sport
GUIAF;Guia de Formación
GVISIT;GUIA VISITANTE
HOT;Hot Concepts
HSHOW;Hostel Show
ISEC;INSTALSEC
LIBRO;Libros
LR;LIBRO RUTAS
MAB;MAB
MABO;MAB ORO
NAN;NAN
PARV;PARQUES VACACIONES
PCCA;Platinum CC Awards
PECK;Pecket
PEL;Peldaño
PFINE;Premios FINE
PGD;Premios Gaceta Dental
PN;ALTA AUTOMATICA
PNAN;Premios NAN
PN-CF;PN - Contact Forum
PN-DF;PN - Den Forum
PN-DS;PN-Sport Forum
PN-FSF;PN - FoodService Forum
PN-NAN;PN-HDX Forum
PN-SF;PN - Security Forum
PN-SPF;PN - Sport Forum
PN-THF;PN - TecnoHotel Forum
RN;Restauración News
SEVE;SERVICIOS EVENTOS TERCEROS
SIC;SIC
SONLINE;Servicios on line
TH;TecnoHotel
THP;TecnoHotel Portugal
TIENGD;Tienda GD O Venta en Eventos
UCC;UCC
TH;TecnoHotel
THP;TecnoHotel Portugal
TIENGD;Tienda GD O Venta en Eventos
UCC;UCC